cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:55:30.438567] 10.111.70.167 ====monitor====keepalive, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:55:32.979581] 10.111.70.167 ====turnstile====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:55:35.444117] 10.111.70.167 ====monitor====keepalive, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:55:35.985393] 10.111.70.167 ====turnstile====3, cis650prs/edison07
[2017-10-20 00:55:34.223424] 10.111.77.109 ====0, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:55:38.991024] 10.111.70.167 ====passenger, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:55:38.991024] 10.111.70.167 ====turnstile====1, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:55:40.449800] 10.111.70.167 ====monitor====keepalive, cis650prs/edison07
[2017-10-20 00:55:39.226033] 10.111.77.109 ====1, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:55:41.995963] 10.111.70.167 ====passenger, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:55:41.995963] 10.111.70.167 ====turnstile====2, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:55:45.001775] 10.111.70.167 ====passenger, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:55:45.001775] 10.111.70.167 ====turnstile====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:55:45.455471] 10.111.70.167 ====monitor====keepalive, cis650prs/edison07
[2017-10-20 00:55:44.232814] 10.111.77.109 ====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:55:48.007481] 10.111.70.167 ====turnstile====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:55:50.461171] 10.111.70.167 ====monitor====keepalive, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:55:51.013083] 10.111.70.167 ====turnstile====3, cis650prs/edison07
[2017-10-20 00:55:49.238422] 10.111.77.109 ====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:55:54.018744] 10.111.70.167 ====turnstile====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:55:55.466838] 10.111.70.167 ====monitor====keepalive, cis650prs/edison07
[2017-10-20 00:55:54.245131] 10.111.77.109 ====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:55:57.024343] 10.111.70.167 ====turnstile====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:00.025347] 10.111.70.167 ====turnstile====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:00.472518] 10.111.70.167 ====monitor====keepalive, cis650prs/edison07
[2017-10-20 00:55:59.251859] 10.111.77.109 ====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:03.030978] 10.111.70.167 ====turnstile====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:05.478189] 10.111.70.167 ====monitor====keepalive, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:06.036524] 10.111.70.167 ====turnstile====3, cis650prs/edison07
[2017-10-20 00:56:04.258705] 10.111.77.109 ====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:09.042121] 10.111.70.167 ====turnstile====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:10.483902] 10.111.70.167 ====monitor====keepalive, cis650prs/edison07
[2017-10-20 00:56:09.265525] 10.111.77.109 ====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:12.047735] 10.111.70.167 ====turnstile====3, cis650prs/edison04
[2017-10-20 00:56:10.486680] 10.111.86.248 ====arrive====BB, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:15.053365] 10.111.70.167 ====turnstile====3, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:15.488981] 10.111.70.167 ====monitor====keepalive, cis650prs/edison07
[2017-10-20 00:56:14.272327] 10.111.77.109 ====pickup====BB, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:18.059022] 10.111.70.167 ====passenger, cis650prs/edison04
[2017-10-20 00:56:15.994677] 10.111.86.248 ====riding and bonding====BB, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:18.059022] 10.111.70.167 ====turnstile====1, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:20.494747] 10.111.70.167 ====monitor====keepalive, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:21.064829] 10.111.70.167 ====passenger, cis650prs/Robers-MacBook-Pro.local
[2017-10-19 17:56:21.064829] 10.111.70.167 ====turnstile====2, cis650prs/edison07
[2017-10-20 00:56:19.279175] 10.111.77.109 ====2, cis650prs/edison04
[2017-10-20 00:56:20.482579] 10.111.86.248 ====arrive====DD, cis650prs/edison04
